adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,KEYWORDS,GENRES,CAST,DIRECTORS
False,/kQM7o3NIkruIZLoQ9E2XzZQ8Ujl.jpg,"[28, 35, 80]",783461,hi,लूप लपेटा,"When her boyfriend loses a mobster's cash, Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends.",201.126,/onGdT8sYi89drvSJyEJnft97rOq.jpg,2022-02-04,Looop Lapeta,False,6.3,47,"['remake', 'looop lapeta', 'saade saati']","['Action', 'Comedy', 'Crime']","['Taapsee Pannu', 'Tahir Raj Bhasin', 'Shreya Dhanwanthary', 'Dibyendu Bhattacharya', 'Rajendra Chawla', 'K.C. Shankar', 'Suresh Triveni', 'Manik Papneja', 'Raghav Raj Kakker', 'Sameer Kevin Roy', 'Bhupesh Bandekar', 'Alistar Bennis', 'Varun Pande', 'Babajaan Devaraya', 'Guia Bianchi', 'Priya Paramita Paul']",['Aakash Bhatia']
False,/7w06baRS9VPm5RYz8lawTCLiR4j.jpg,"[28, 80, 53]",592508,hi,Sooryavanshi,"A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.",118.91,/8p3mhjyLjHKtaAv8tFKfvEBtir0.jpg,2021-11-05,Sooryavanshi,False,5.8,115,"['police', 'sequel', 'police officer', 'cop universe']","['Action', 'Crime', 'Thriller']","['Akshay Kumar', 'Katrina Kaif', 'Ajay Devgn', 'Ranveer Singh', 'Jackie Shroff', 'Javed Jaffrey', 'Kumud Mishra', 'Abhimanyu Singh', 'Nikitin Dheer', 'Gulshan Grover', 'Vivan Bhatena', 'Sikandar Kher', 'Rajendra Gupta', 'Amritpal Singh', 'Asif Basra', 'Uday Tikekar', 'Jayant Sawarkar', 'Anil Mange', 'Pradeep Kabra', 'Micky Makhija', 'Siddharth Jadhav']",['Rohit Shetty']
False,/4r3iEz4CsRWm7KTrFrESrKkv7GU.jpg,"[18, 35, 10749]",601635,hi,लाल सिंह चड्ढा,"Events in India's history — from the Emergency and the famous Cricket World Cup win to the Punjab riots — unfold from the perspective of an innocent Sikh man Laal Singh Chaddha, a person with a low IQ but high optimism. Laal is able to achieve everything under the sun but his childhood love continues to elude him.",60.696,/rS8fGGgs9panboG1ZVGS6CFzXJM.jpg,2022-08-11,Laal Singh Chaddha,False,6.0,1,"['mentally disabled', 'based on novel or book', 'remake', 'india', 'foreign language adaptation']","['Drama', 'Comedy', 'Romance']","['Aamir Khan', 'Kareena Kapoor Khan', 'Naga Chaitanya Akkineni', 'Mona Singh', 'Manav Vij', 'Kamini Kaushal', 'Ahmad Ibn Umar', 'Hafsa Ashraf', 'Gitikka Ganju Dhar', 'Rohaan Singh', 'Shah Rukh Khan', 'Aarya Sharma', 'Nazneen Madan', 'Arun Bali', 'Jagat Rawat', 'Harry Parmar', 'Shrikant Verma', 'Guneet Singh Sodhi', 'Shiv Panditt', 'Yuri Suri', 'Sowmyashree Belur']",['Advait Chandan']
False,/3X44M96PsggERutUGrYhHXuaHsl.jpg,"[35, 18, 10751]",729700,hi,रक्षा बन्धन,A doting brother will only get married to his ladylove after fulfilling his 'brotherly duties'. He manages his work and personal life while looking out for his four sisters. The film is a satire on the dowry system which is still prevalent in India while celebrating family values.,29.388,/ykefXRqhM7HVnLWPtXWcWCcvBy6.jpg,2022-08-11,Raksha Bandhan,False,0.0,0,[],"['Comedy', 'Drama', 'Family']","['Akshay Kumar', 'Bhumi Pednekar', 'Sadia Khateeb', 'Sahejmeen Kaur', 'Smrithi Srikanth', 'Deepika Khanna', 'Sahil Mehta', 'Neeraj Sood', 'Seema Pahwa', 'Abhilash Thapliyal']",['Aanand L. Rai']
False,/aFGPUmbgGoAt93WP3WYsAPa0Yv8.jpg,"[18, 35]",20453,hi,3 Idiots,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",46.251,/66A9MqXOyVFCssoloscw79z8Tew.jpg,2009-12-23,3 Idiots,False,8.0,1874,"['suicide', 'suicide attempt', 'college', 'musical', 'slapstick comedy', 'friends', 'engineering', 'coming of age', 'subjective camera']","['Drama', 'Comedy']","['Aamir Khan', 'Sharman Joshi', 'R. Madhavan', 'Kareena Kapoor Khan', 'Boman Irani', 'Omi Vaidya', 'Farida Dadi', 'Parikshat Sahni', 'Amardeep Jha', 'Mukund Bhatt', 'Mona Singh', 'Olivier Lafont', 'Achyut Potdar', 'Chaitali Bose', 'Jayant Kripalani', 'Akhil Mishra', 'Atul Tiwari', 'Rajeev Ravindranathan', 'Supriya Shukla', 'Rahul Kumar', 'Javed Jaffrey', 'Ali Fazal', 'Arun Bali']",['Rajkumar Hirani']
False,/lNnnhBxQESk0WbUXNeh24Dx8XA7.jpg,"[53, 18, 80]",767377,hi,धमाका,"When a cynical ex-TV news anchor gets an alarming call on his radio show, he sees a chance for a career comeback — but it may cost his conscience.",58.392,/KowKEuyWziUtnCYicv6zhzTQIv.jpg,2021-11-19,Dhamaka,False,7.3,61,['remake'],"['Thriller', 'Drama', 'Crime']","['Kartik Aaryan', 'Amruta Subhash', 'Mrunal Thakur', 'Soham Majumdar', 'Vikas Kumar', 'Vishwajeet Pradhan', 'Anuj Gurwara', 'Priya Tandon', 'Aeklavya Tomer', 'Prabhat Singh Bhadauriya', 'Aishwarya Chaudhary', 'Ritviq Joshi', 'Ashish Ranglani']",['Ram Madhvani']
False,/90ez6ArvpO8bvpyIngBuwXOqJm5.jpg,"[35, 18, 10749]",19404,hi,दिलवाले दुल्हनिया ले जायेंगे,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",61.736,/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,1995-10-19,Dilwale Dulhania Le Jayenge,False,8.7,3766,[],"['Comedy', 'Drama', 'Romance']","['Shah Rukh Khan', 'Kajol', 'Amrish Puri', 'Anupam Kher', 'Satish Shah', 'Farida Jalal', 'Achala Sachdev', 'Himani Shivpuri', 'Pooja Ruparel', 'Mandira Bedi', 'Uday Chopra', 'Parmeet Sethi', 'Karan Johar', 'Arjun Sablok', 'Anaita Shroff Adajania', 'Hemlata Deepak', 'Lalit Tiwari', 'Baby Raashi', 'Baby Nupur', 'Shanker Iyer', 'Rajesh Bhatija', 'Govind Khatri', 'Mansoor Merchant', 'Mohit Kumar', 'Damyanti Puri', 'Surendra Rahi']",['Aditya Chopra']
False,/lmUj6x9d8miPgcMxDkqQgTeiPJL.jpg,[18],679018,hi,जर्सी,"An ex-cricketer struggling to make ends meet, wants to fulfill his child's wish of getting an Indian jersey but in the process comes face to face with his heroic past and is forced to decide if he will rise to the occasion and become a symbol of hope or continue to live a life as a loser?",51.521,/ur2D5MXrwBBymQ7DjG0cOFen2yh.jpg,2022-04-22,Jersey,False,7.3,24,"['cricket', 'sports', 'remake', 'father son relationship']",['Drama'],"['Shahid Kapoor', 'Mrunal Thakur', 'Pankaj Kapur', 'Ronit Kamra', 'Rituraj Singh', 'Geetika Mehandru', 'Prit Kamani', 'Anjum Batra', 'Saurabh Pandey', 'Rudrashish Majumdar', 'Sunil Saraswat', 'Abhishek Madrecha', 'Sanjiv Chopra']",['Gowtam Tinnanuri']
False,/fpgSkuEG2eV9nOHAYzqfOg1R8t2.jpg,"[18, 10749]",26022,hi,My Name Is Khan,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.",28.999,/5Y36lCiNyyV71mjq6LavgiggbhT.jpg,2010-02-10,My Name Is Khan,False,8.1,1049,"['autism', 'mumbai (bombay), india', 'based on true story', 'prejudice', 'religion', 'disability', ""asperger's syndrome""]","['Drama', 'Romance']","['Shah Rukh Khan', 'Kajol', 'Jimmy Shergill', 'Zarina Wahab', 'Adarsh Gourav', 'Tanay Chheda', 'Sheetal Menon', 'Arif Zakaria', 'Arjun Mathur', 'Christopher B. Duncan', 'Nicolas Pajon', 'Rod Britt', 'Michael William Arnold', 'Katie A. Keane', 'Kenton Duty', 'Joseph Zinsman', 'Jonathan Matthew Wilson', 'Laurence Brown']",['Karan Johar']
False,/hwBFGNabkGv2ZIyFUnCTSSmprf7.jpg,"[27, 14]",714338,hi,Bulbbul,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",32.463,/4XYEqHqvcf6vxFhNyeKZz5xbUfV.jpg,2020-06-24,Bulbbul,False,6.8,91,"['rape', 'witch', 'village', 'patriarchy', 'revenge', 'murder', 'tragedy', 'misogyny', 'child marriage', 'folklore', 'social issues', 'supernatural horror']","['Horror', 'Fantasy']","['Tripti Dimri', 'Rahul Bose', 'Avinash Tiwary', 'Parambrata Chatterjee', 'Paoli Dam', 'Varun Buddhadev', 'Ruchi Mahajan', 'Sameer Deshpande', 'Veera Kapur Ee']",['Anvita Dutt']
